lon,lat,alt,time,vel,moving,s,elapsed,asc,desc
-3.170624,51.097364,327.6,2019-08-03 10:38:22+00:00,11.856898552253318,1,1.239138600569493,354.0,70.20000000000005,-7.2000000000000455
-3.17066,51.097385,327.8,2019-08-03 10:38:23+00:00,12.376335207625898,1,1.2425764714605003,355.0,70.40000000000003,-7.2000000000000455
-3.170774,51.097476,329.0,2019-08-03 10:38:27+00:00,11.640808657324166,1,1.2555107033019715,359.0,71.60000000000002,-7.2000000000000455
-3.170936,51.097574,330.2,2019-08-03 10:38:31+00:00,14.181732503183156,1,1.2712681838610638,363.0,72.80000000000001,-7.2000000000000455
-3.171,51.097625,330.4,2019-08-03 10:38:33+00:00,13.005175197467555,1,1.2784932811929903,365.0,73.0,-7.2000000000000455
-3.17111,51.097673,331.4,2019-08-03 10:38:36+00:00,11.291416301485826,1,1.2879027947775616,368.0,74.0,-7.2000000000000455
-3.171205,51.09775,332.8,2019-08-03 10:38:40+00:00,9.831937553047553,1,1.2988271698365033,372.0,75.40000000000003,-7.2000000000000455
-3.171315,51.097789,334.0,2019-08-03 10:38:43+00:00,10.685520652622479,1,1.3077317703803553,375.0,76.60000000000002,-7.2000000000000455
-3.171467,51.097781,335.2,2019-08-03 10:38:46+00:00,12.866031525589515,1,1.3184534633183467,378.0,77.80000000000001,-7.2000000000000455
-3.171587,51.097767,336.4,2019-08-03 10:38:50+00:00,7.748445233200737,1,1.327062846910792,382.0,79.0,-7.2000000000000455
-3.1716,51.097759,336.6,2019-08-03 10:38:52+00:00,2.3165546245972974,1,1.3283498217022347,384.0,79.20000000000005,-7.2000000000000455
-3.171565,51.097801,336.4,2019-08-03 10:40:34+00:00,0.18622345021274012,0,1.3283498217022347,384.0,79.20000000000005,-7.2000000000000455
-3.171573,51.097825,336.4,2019-08-03 10:40:35+00:00,9.818250051207958,1,1.3310771133831258,385.0,79.20000000000005,-7.2000000000000455
-3.171599,51.097873,336.4,2019-08-03 10:40:37+00:00,10.150727332779233,1,1.336716406345781,387.0,79.20000000000005,-7.2000000000000455
-3.171667,51.097931,336.4,2019-08-03 10:40:40+00:00,9.613276054760748,1,1.3447274697247482,390.0,79.20000000000005,-7.2000000000000455
-3.171754,51.097983,336.4,2019-08-03 10:40:43+00:00,10.067162163469478,1,1.3531167715276395,393.0,79.20000000000005,-7.2000000000000455
-3.171786,51.098019,338.0,2019-08-03 10:40:45+00:00,8.742366261661184,1,1.3579736416730068,395.0,80.80000000000007,-7.2000000000000455
-3.171789,51.098039,338.4,2019-08-03 10:40:46+00:00,8.171627045913155,1,1.3602435380746494,396.0,81.20000000000005,-7.2000000000000455
-3.171793,51.098058,338.6,2019-08-03 10:40:47+00:00,7.707785063709263,1,1.3623845894812352,397.0,81.40000000000009,-7.2000000000000455
-3.171803,51.09808,338.8,2019-08-03 10:40:48+00:00,9.189239907413132,1,1.3649371561221832,398.0,81.60000000000008,-7.2000000000000455
-3.171822,51.098102,339.0,2019-08-03 10:40:49+00:00,10.04714880578052,1,1.3677280307904558,399.0,81.80000000000007,-7.2000000000000455
-3.17184,51.098125,339.4,2019-08-03 10:40:50+00:00,10.362229713973347,1,1.3706064279332262,400.0,82.20000000000005,-7.2000000000000455
-3.171858,51.09815,339.6,2019-08-03 10:40:51+00:00,11.009652989831652,1,1.373664664874846,401.0,82.40000000000009,-7.2000000000000455
-3.171881,51.098173,339.8,2019-08-03 10:40:52+00:00,10.898748003681524,1,1.3766920948758687,402.0,82.60000000000008,-7.2000000000000455
-3.171937,51.098234,340.2,2019-08-03 10:40:55+00:00,9.410148029547846,1,1.3845338849004918,405.0,83.00000000000006,-7.2000000000000455
-3.17207,51.098332,341.2,2019-08-03 10:41:00+00:00,10.336843117395084,1,1.3988906114524293,410.0,84.00000000000006,-7.2000000000000455
-3.172222,51.09843,342.0,2019-08-03 10:41:05+00:00,10.97082474729879,1,1.4141278680459,415.0,84.80000000000007,-7.2000000000000455
-3.172274,51.09847,342.2,2019-08-03 10:41:07+00:00,10.344338966394718,1,1.4198747230272304,417.0,85.00000000000006,-7.2000000000000455
-3.172295,51.09849,342.4,2019-08-03 10:41:08+00:00,9.61952454853697,1,1.4225468131796017,418.0,85.20000000000005,-7.2000000000000455
-3.172338,51.098529,342.6,2019-08-03 10:41:10+00:00,9.503866374878971,1,1.4278267389434234,420.0,85.40000000000009,-7.2000000000000455
-3.172448,51.098606,343.2,2019-08-03 10:41:14+00:00,10.369256183833453,1,1.4393481347032384,424.0,86.00000000000006,-7.2000000000000455
-3.172477,51.098628,343.4,2019-08-03 10:41:15+00:00,11.458380002299199,1,1.4425310180372106,425.0,86.20000000000005,-7.2000000000000455
-3.172533,51.09867,343.8,2019-08-03 10:41:17+00:00,10.990727371426928,1,1.4486369776880033,427.0,86.60000000000008,-7.2000000000000455
-3.17256,51.098692,344.0,2019-08-03 10:41:18+00:00,11.145076332867129,1,1.451732832224911,428.0,86.80000000000007,-7.2000000000000455
-3.17264,51.098745,344.4,2019-08-03 10:41:21+00:00,9.758804683087323,1,1.4598651694608171,431.0,87.20000000000005,-7.2000000000000455
-3.172695,51.098784,344.6,2019-08-03 10:41:23+00:00,10.436104778618114,1,1.4656630054489383,433.0,87.40000000000009,-7.2000000000000455
-3.172766,51.098849,345.4,2019-08-03 10:41:26+00:00,10.564250840692669,1,1.474466547816182,436.0,88.20000000000005,-7.2000000000000455
-3.172789,51.098871,345.6,2019-08-03 10:41:27+00:00,10.562516538031895,1,1.4774005801878578,437.0,88.40000000000009,-7.2000000000000455
-3.172927,51.099006,346.8,2019-08-03 10:41:33+00:00,10.73005264975432,1,1.4952840012707815,443.0,89.60000000000008,-7.2000000000000455
-3.173012,51.099162,347.8,2019-08-03 10:41:39+00:00,11.019703149935959,1,1.5136501731873415,449.0,90.60000000000008,-7.2000000000000455
-3.173091,51.099364,349.0,2019-08-03 10:41:46+00:00,11.914191854913701,1,1.5368166573496738,456.0,91.80000000000007,-7.2000000000000455
-3.173268,51.099539,349.6,2019-08-03 10:41:52+00:00,13.840014244790819,1,1.5598833477576584,462.0,92.40000000000009,-7.2000000000000455
-3.173636,51.099718,349.6,2019-08-03 10:41:58+00:00,19.507485960023214,1,1.5923958243576972,468.0,92.40000000000009,-7.2000000000000455
-3.173704,51.099744,349.6,2019-08-03 10:41:59+00:00,20.01849236395999,1,1.5979565166810195,469.0,92.40000000000009,-7.2000000000000455
-3.173771,51.09977,349.4,2019-08-03 10:42:00+00:00,19.81723112745906,1,1.6034613031053135,470.0,92.40000000000009,-7.400000000000091
-3.173902,51.099814,349.0,2019-08-03 10:42:02+00:00,18.691505990497895,1,1.6138454731000347,472.0,92.40000000000009,-7.800000000000068
-3.174618,51.100099,349.0,2019-08-03 10:42:14+00:00,17.76303934917098,1,1.673055604263938,484.0,92.40000000000009,-7.800000000000068
-3.175415,51.100334,349.8,2019-08-03 10:42:27+00:00,17.031699194820064,1,1.734558962467455,497.0,93.2000000000001,-7.800000000000068
-3.175562,51.100397,350.2,2019-08-03 10:42:30+00:00,14.924394046954166,1,1.7469959575065834,500.0,93.60000000000008,-7.800000000000068
-3.175614,51.100422,350.2,2019-08-03 10:42:31+00:00,16.467081248212686,1,1.751570146742198,501.0,93.60000000000008,-7.800000000000068
-3.175933,51.100587,350.4,2019-08-03 10:42:37+00:00,17.31990829362523,1,1.7804366605649065,507.0,93.80000000000007,-7.800000000000068
-3.176067,51.100621,350.4,2019-08-03 10:42:39+00:00,18.169902342409383,1,1.790531050755134,509.0,93.80000000000007,-7.800000000000068
-3.176916,51.100826,350.4,2019-08-03 10:42:51+00:00,19.05932549511016,1,1.8540621357388345,521.0,93.80000000000007,-7.800000000000068
-3.177673,51.101128,350.0,2019-08-03 10:43:01+00:00,22.550933651356797,1,1.9167036181037145,531.0,93.80000000000007,-8.200000000000045
-3.177978,51.10128,349.0,2019-08-03 10:43:05+00:00,24.49294057562201,1,1.9439179965210722,535.0,93.80000000000007,-9.200000000000045
-3.178062,51.101307,348.8,2019-08-03 10:43:06+00:00,23.737960140293755,1,1.9505118743378205,536.0,93.80000000000007,-9.400000000000034
-3.178399,51.101386,348.2,2019-08-03 10:43:10+00:00,22.618126206742854,1,1.975643125678646,540.0,93.80000000000007,-10.000000000000057
-3.178553,51.101434,348.2,2019-08-03 10:43:12+00:00,21.614558224667846,1,1.987651213581239,542.0,93.80000000000007,-10.000000000000057
-3.178908,51.10155,348.2,2019-08-03 10:43:17+00:00,20.124450959714032,1,2.0156018399141753,547.0,93.80000000000007,-10.000000000000057
-3.179021,51.101611,348.0,2019-08-03 10:43:19+00:00,18.737516676545898,1,2.026011571401145,549.0,93.80000000000007,-10.200000000000045
-3.179078,51.101646,348.0,2019-08-03 10:43:20+00:00,20.045202514193836,1,2.0315796832106434,550.0,93.80000000000007,-10.200000000000045
-3.179133,51.101677,348.0,2019-08-03 10:43:21+00:00,18.582809828253595,1,2.0367415748296027,551.0,93.80000000000007,-10.200000000000045
-3.179187,51.101706,347.8,2019-08-03 10:43:22+00:00,17.8803834617807,1,2.041708348013431,552.0,93.80000000000007,-10.400000000000034
-3.179286,51.101775,347.8,2019-08-03 10:43:24+00:00,18.59409805560216,1,2.0520384024887655,554.0,93.80000000000007,-10.400000000000034
-3.179515,51.102018,346.8,2019-08-03 10:43:29+00:00,22.62362855313505,1,2.083460108812564,559.0,93.80000000000007,-11.400000000000034
-3.179635,51.102167,346.0,2019-08-03 10:43:32+00:00,22.306408845270692,1,2.10204878285029,562.0,93.80000000000007,-12.200000000000045
-3.179665,51.102208,345.0,2019-08-03 10:43:33+00:00,18.422139634876157,1,2.1071660438599773,563.0,93.80000000000007,-13.200000000000045
-3.179701,51.102246,344.6,2019-08-03 10:43:34+00:00,17.763015149414816,1,2.112100214734815,564.0,93.80000000000007,-13.600000000000023
-3.179744,51.102283,344.0,2019-08-03 10:43:35+00:00,18.467583612547443,1,2.1172300990716333,565.0,93.80000000000007,-14.200000000000045
-3.179783,51.102324,343.4,2019-08-03 10:43:36+00:00,19.24420239295764,1,2.122575710847455,566.0,93.80000000000007,-14.800000000000068
-3.179818,51.102366,343.0,2019-08-03 10:43:37+00:00,19.03528368804049,1,2.1278632896496883,567.0,93.80000000000007,-15.200000000000045
-3.179953,51.102525,342.0,2019-08-03 10:43:41+00:00,18.05973960196258,1,2.1479296669852026,571.0,93.80000000000007,-16.200000000000045
-3.180004,51.102557,341.8,2019-08-03 10:43:42+00:00,18.141897093129774,1,2.152969082844405,572.0,93.80000000000007,-16.400000000000034
-3.180186,51.10266,340.8,2019-08-03 10:43:46+00:00,15.427146473169904,1,2.1701103567034825,576.0,93.80000000000007,-17.400000000000034
-3.180301,51.102747,340.6,2019-08-03 10:43:49+00:00,15.092764256228577,1,2.18268766025034,579.0,93.80000000000007,-17.600000000000023
-3.180392,51.102847,339.6,2019-08-03 10:43:53+00:00,11.564446758239304,1,2.195537045537272,583.0,93.80000000000007,-18.600000000000023
-3.180401,51.102863,338.8,2019-08-03 10:43:57+00:00,1.8449253115002853,1,2.1975869625500506,587.0,93.80000000000007,-19.400000000000034
-3.180431,51.102865,338.6,2019-08-03 10:43:58+00:00,7.619392012376637,1,2.1997034603312664,588.0,93.80000000000007,-19.600000000000023
-3.180754,51.10299,338.2,2019-08-03 10:44:05+00:00,13.629666264381255,1,2.2262055891786745,595.0,93.80000000000007,-20.000000000000057
